"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"42591843","弘農企業有限公司","雲林縣莿桐鄉興貴村興南路1-6號","0","1040821","雲林縣莿桐鄉興貴村興南路１－６號","454111,,,","02-AUG-20","","","","",""
"42591935","兆禾機械有限公司","彰化縣秀水鄉鶴鳴村馬鳴路313號","0","1040821","彰化縣秀水鄉鶴鳴村０２０鄰馬鳴路３１３號","469199,292999,,","02-AUG-20","","","","JH,","2019-11-22"
"42592012","澄宇實業有限公司","彰化縣和美鎮和西里和線路101巷4號","0","1040821","彰化縣和美鎮和西里和線路１０１巷４號","473215,455215,,","02-AUG-20","","","","",""
"42592110","達漢科技股份有限公司","苗栗縣竹南鎮聖福里12鄰建國路336號","88700000","1040821","苗栗縣竹南鎮聖福里０１２鄰建國路３３６號","264999,,,","02-AUG-20","","","","",""
"42592174","喬申工業有限公司","彰化縣和美鎮月眉里北辰路81巷20號1樓","0","1040824","彰化縣和美鎮月眉里北辰路８１巷２０號１樓","254999,461517,,","02-AUG-20","","","","",""
"42592245","朝揚金屬有限公司","彰化縣秀水鄉下崙村民生街臨243號","null","1040824","彰化縣秀水鄉下崙村民生街臨２４３號","259913,259999,252100,254399","02-AUG-20","","","","",""
"42592250","盛金夆科技有限公司","彰化縣鹿港鎮頂番里埤頭巷臨17之1號","0","1040824","彰化縣鹿港鎮頂番里０１７鄰埤頭巷臨１７－１號","251299,251211,,","02-AUG-20","","","","",""
"42592370","一畝田農業開發有限公司","彰化縣員林市大饒里香山路87之11號","0","1040824","彰化縣員林市大饒里香山路８７－１１號","011400,011799,561115,","02-AUG-20","","","","",""
"42592575","名誠科技有限公司","彰化縣田尾鄉北鎮村平和路二段161巷3號1樓","0","1040824","彰化縣田尾鄉北鎮村００４鄰平和路二段１６１巷３號１樓","461516,339999,249999,","02-AUG-20","","","","",""
"42592646","富裕新投資開發有限公司","彰化縣秀水鄉福安村福陵巷128巷51號","0","1040824","彰化縣秀水鄉福安村福陵巷１２８弄５１號","649911,,,","02-AUG-20","","","","",""
"42592717","正隆木業有限公司","南投縣鹿谷鄉鹿谷村鹿彰路340號一樓","0","1040825","南投縣鹿谷鄉鹿谷村鹿彰路３４０號１樓","485218,474211,,","02-AUG-20","","","","",""
"42592759","豪洋工程有限公司","苗栗縣竹南鎮海口里光德路55巷13號","0","1040825","苗栗縣竹南鎮海口里０１３鄰光德路５５巷１３號","433900,434014,292999,433212","02-AUG-20","","","","",""
"42592863","戴門子國際有限公司","彰化縣秀水鄉莊雅村秀中街82巷67弄17號1樓","null","1040825","彰化縣秀水鄉莊雅村秀中街８２巷６７弄１７號１樓","458211,,,","02-AUG-20","","","","",""
"42592929","埔工坊文創事業股份有限公司","南投縣魚池鄉魚池村秀水巷25-6號","20000000","1040825","南投縣魚池鄉魚池村秀水巷２５─６號","454811,454612,454611,472913","02-AUG-20","","","","",""
"42592982","十裕實業有限公司","彰化縣鹿港鎮草中里草港巷7之5號1樓","null","1040825","彰化縣鹿港鎮草中里００１鄰草港巷７之５號１樓","115111,,,","02-AUG-20","","","","",""
"42593096","名頤有限公司","彰化縣溪州鄉西畔村西斗路251號","0","1040826","彰化縣溪州鄉西畔村西斗路２５１號","322000,259999,291900,292999","02-AUG-20","","","","",""
"42593217","希望生機有限公司","苗栗縣後龍鎮北龍里中華路61號1樓","0","1040826","苗栗縣後龍鎮北龍里００１鄰中華路６１號１樓","083012,083013,092017,089699","02-AUG-20","","","","",""
"42593238","立益資源回收有限公司","彰化縣秀水鄉安溪村平安五街18號一樓","0","1040826","彰化縣秀水鄉安溪村平安五街１８號１樓","469199,,,","02-AUG-20","","","","",""
"42593878","特茂生物科技有限公司","苗栗縣苑裡鎮水坡里4鄰36-5號","null","1040827","苗栗縣苑裡鎮水坡里４鄰３６─５號","013012,469999,140111,011699","02-AUG-20","","","","",""
"42593883","筠騰企業有限公司","彰化縣埔鹽鄉崑崙村彰水路一段102-5號1樓","null","1040827","彰化縣埔鹽鄉崑崙村彰水路１段１０２－５號１樓","115999,123099,111299,114099","02-AUG-20","","","","",""
"42594047","昇昀數位有限公司","彰化縣北斗鎮西德里河濱街36號1樓","null","1040828","彰化縣北斗鎮西德里０１１鄰河濱街３６號１樓","581312,,,","02-AUG-20","","","","",""
"42594308","祥盟金屬工業有限公司","彰化縣鹿港鎮東石里環工二路3號","0","1040831","彰化縣鹿港鎮東石里環工二路３號","465314,254411,,","02-AUG-20","","","","",""
"42594383","綠安薌有限公司","南投縣埔里鎮大湳里中山路一段317-3號","0","1040831","南投縣埔里鎮大湳里中山路一段３１７─３號","464915,454920,472933,","02-AUG-20","","","","美之妍,","2019-11-22"
"42595030","晟鴻工業有限公司","雲林縣斗六市榴中里石榴路222巷15號1樓","null","1040902","雲林縣斗六市榴中里石榴路２２２巷１５號１樓","433212,340017,439014,254911","02-AUG-20","","","","",""
"42595361","明創應用科技有限公司","彰化縣員林市三橋里建國路116號","0","1040902","彰化縣員林市三橋里建國路１１６號","639099,483111,483112,","02-AUG-20","","","","",""
"42595398","義宏有限公司","南投縣竹山鎮中山里頂林新村93號1樓","0","1040625","南投縣竹山鎮中山里０３０鄰頂林新村９３號１樓","140914,,,","02-AUG-20","","","","",""
"42595405","蒂和國際有限公司","彰化縣和美鎮嘉犁里線東路二段臨712號","0","1040902","彰化縣和美鎮嘉犁里線東路２段臨７１２號","454999,,,","02-AUG-20","","","","",""
"42595496","圓特工業有限公司","彰化縣鹿港鎮埔崙里海浴路351巷88弄臨45號","0","1040903","彰化縣鹿港鎮埔崙里０２５鄰海浴路３５１巷８８弄臨４５號","293311,,,","02-AUG-20","","","","",""
"42596158","崑展有限公司","雲林縣崙背鄉豐榮村1鄰豐榮38-26號1樓","0","1040904","雲林縣崙背鄉豐榮村００１鄰豐榮３８－２６號１樓","439099,,,","02-AUG-20","","","","",""
"42596164","瑪克瑪輪胎股份有限公司","苗栗縣苗栗市南勢里14鄰坪頂西52號","406654600","1040904","苗栗縣苗栗市南勢里０１４鄰坪頂西５２號","451099,465315,484315,","02-AUG-20","","","","",""
"42596170","台灣蓋茲顧問股份有限公司","彰化縣彰化市平和里精誠路117號1樓","5100000","1040904","彰化縣彰化市平和里精誠路１１７號１樓","760999,,,","02-AUG-20","","","","",""
"42596185","寶贊科技有限公司","彰化縣和美鎮竹園里柑竹路730巷36弄5號","null","1040904","彰化縣和美鎮竹園里柑竹路７３０巷３６弄５號","259999,254999,,","02-AUG-20","","","","",""
"42596191","祐銘有限公司","彰化縣花壇鄉北口村彰花路450巷8號","0","1040904","彰化縣花壇鄉橋頭村００２鄰彰員路二段６２號１樓","251211,,,","02-AUG-20","","","","",""
"42596220","豪準光電有限公司","彰化縣福興鄉外埔村復興路41-3號2樓","null","1040904","彰化縣福興鄉外埔村復興路４１－３號２樓","291900,269999,277999,251199","02-AUG-20","","","","",""
"42596278","碩威工業有限公司","彰化縣溪湖鎮番婆里彰水路二段434號1樓","null","1040907","彰化縣溪湖鎮番婆里彰水路二段４３４號１樓","313200,456999,,","02-AUG-20","","","","",""
"42596782","程瑋實業有限公司","彰化縣和美鎮仁愛里道周路532之12號11樓","0","1040908","彰化縣和美鎮仁愛里０１４鄰道周路５３２－１２號１１樓","455112,464299,464999,","02-AUG-20","","","","",""
"42597065","翔盛機械工業股份有限公司","彰化縣和美鎮糖友里27鄰東萊路151巷10弄17號1樓","5000000","1040908","彰化縣和美鎮糖友里東萊路１５１巷１０弄１７號１樓","259100,253999,303099,313200","02-AUG-20","","","","",""
"42597234","詠智工程有限公司","苗栗縣頭份市興隆里11鄰湳湖30號1樓","0","1040909","苗栗縣頭份市興隆里０１１鄰湳湖３０號１樓","433212,,,","02-AUG-20","","","","",""
"42597332","依曼莉有限公司","彰化縣彰化市平和里林森路320號1樓","0","1040909","彰化縣彰化市平和里林森路３２０號１樓","121018,455211,473211,","02-AUG-20","","","","",""
"42597494","展誠精密有限公司","彰化縣埔鹽鄉大有村員鹿路3段67號","null","1040909","彰化縣埔鹽鄉大有村員鹿路３段６７號","252100,252299,259999,251299","02-AUG-20","","","","",""
"42597620","忠憲車業有限公司","彰化縣花壇鄉金墩村中山路1段226號","0","1040910","彰化縣花壇鄉金墩村０１０鄰中山路一段２２６號","484311,,,","02-AUG-20","","","","",""
"42597712","欣詮鈊有限公司","彰化縣秀水鄉安東村安東巷29號1樓","0","1040910","彰化縣秀水鄉安東村安東巷２９號１樓","251211,464999,462099,464299","02-AUG-20","","","","",""
"42598260","龍昱科技工業有限公司","苗栗縣頭份市建國里2鄰大同路106號","null","1040914","苗栗縣頭份市建國里００２鄰大同路１０６號","254911,254999,,","02-AUG-20","","","","",""
"42598368","宏威精工有限公司","彰化縣溪湖鎮光平里興學街287號","0","1040914","彰化縣溪湖鎮光平里興學街２８７號","464111,464299,259100,271999","02-AUG-20","","","","",""
"42598472","晊農國際有限公司","南投縣草屯鎮中和路81之65巷38號","0","1040914","南投縣草屯鎮中原里中和路８１之６５巷３８號","462011,462016,,","02-AUG-20","","","","",""
"42598634","星晨揚企業有限公司","彰化縣埤頭鄉埤頭村斗苑東路486號","0","1040914","彰化縣埤頭鄉埤頭村斗苑東路４８６號","254412,259999,259212,","02-AUG-20","","","","",""
"42598727","鑫世誠鋼構有限公司","彰化縣田尾鄉海豐村新生路186巷208號","null","1040915","彰化縣田尾鄉海豐村新生路１８６巷２０８號","434013,461599,,","02-AUG-20","","","","",""
"42598748","畊盈精密有限公司","彰化縣秀水鄉安東村彰水路2段662巷43號","0","1040915","彰化縣秀水鄉安東村彰水路二段６６２巷４３號","259100,259999,461515,","02-AUG-20","","","","",""
"42598780","志建金屬企業有限公司","彰化縣福興鄉頂粘村頂粘街323號","0","1040915","彰化縣福興鄉頂粘村頂粘街３２３號","469112,,,","02-AUG-20","","","","",""
"42598819","津宏國際貿易有限公司","南投縣鹿谷鄉鹿谷村興農巷10之6號","0","1040915","南投縣鹿谷鄉鹿谷村００２鄰興農巷１０─６號","454811,,,","02-AUG-20","","","","",""
"42598867","水葉農場有限公司","南投縣魚池鄉東池村魚池街94號","0","1040915","南投縣魚池鄉東池村魚池街９４號","454811,,,","02-AUG-20","","","","水葉,","2019-11-22"
"42598873","樹沃客樹藝有限公司","彰化縣鹿港鎮鹿和路二段329號1樓","0","1040915","彰化縣鹿港鎮廖厝里０２２鄰鹿和路二段３２９號１樓","011999,011799,013012,","02-AUG-20","","","","",""
"42599063","聯碩輪業有限公司","苗栗縣竹南鎮崎頂里尖山101號1樓","0","1040916","苗栗縣竹南鎮崎頂里尖山１０１號１樓","484315,951199,484311,","02-AUG-20","","","","",""
"42599140","安業慢藏國際有限公司","彰化縣田尾鄉饒平村建平路一段160巷28號","null","1040916","彰化縣田尾鄉饒平村０１０鄰建平路一段１６０巷２８號","458211,455113,,","02-AUG-20","","","","",""
"42599319","澄璞實業有限公司","彰化縣彰化市新興里自強路27號1樓","0","1040916","彰化縣彰化市新興里１１鄰自強路２７號１樓","472999,,,","02-AUG-20","","","","",""
"42599541","興鎂興業有限公司","彰化縣秀水鄉馬興村彰馬街1-70號","null","1040917","彰化縣秀水鄉馬興村彰馬街１－７０號","254911,291900,,","02-AUG-20","","","","",""
"42599839","凱傑鋁業有限公司","彰化縣伸港鄉定興村彰新路七段464巷32號","null","1040918","彰化縣伸港鄉定興村０１１鄰彰新路七段４６４巷３２號","252211,461511,,","02-AUG-20","","","","",""
"42599964","禾興工業有限公司","彰化縣員林市南興里員大路1段235號1樓","null","1040918","彰化縣員林市南興里員大路１段２３５號１樓","254911,252100,,","02-AUG-20","","","","",""
