"統一編號","公司名稱","公司地址","實收資本額","核准設立日期","營業地址（財政資訊中心匯入）","行業代號（財政資訊中心匯入）","財政資訊中心匯入日期","股票代號（金融監督管理委員會匯入）","產業別（金融監督管理委員會匯入）","金融監督管理委員會匯入日期","商標資料（智慧財產局匯入）","智慧財產局匯入日期"
"75902972","登億企業有限公司","高雄市新興區五福二路45號之1","0","0641001","高雄市新興區五福二路４５之１號","484111,681111,681112,434011","02-AUG-20","","","","",""
"75903070","世安汽車貨運股份有限公司","高雄市小港區中亨街36號","50000000","0650927","高雄市小港區龍鳳里中亨街３６號","494099,494011,525999,530100","02-AUG-20","","","","",""
"75903894","化展工業有限公司","高雄市仁武區仁樂街303巷1弄16號","null","0651004","高雄市仁武區仁武里仁樂街３０３巷１弄１６號","474113,464999,,","02-AUG-20","","","","",""
"75906843","申芳實業股份有限公司","高雄市前鎮區新強路9號","20000000","0651222","高雄市前鎮區仁愛里新強路９號","456111,481014,,","02-AUG-20","","","","SF SANT FONG,SANT FONG,SHEN FANG,申芳,","2019-11-22"
"75907081","德龍興業股份有限公司","高雄市鼓山區鼓山三路23號","28050000","0651215","高雄市鼓山區龍井里鼓山三路２３號","681112,,,","02-AUG-20","","","","",""
"75908130","皆發企業有限公司","高雄市新興區民族二路105巷18號","0","0660113","高雄市新興區興昌里民族二路１０５巷１８號","439099,434012,433212,","02-AUG-20","","","","",""
"75908146","龍隆無塵室科技股份有限公司","高雄市大寮區上發六路30號","132600000","0651231","高雄市大寮區上寮里上發六路３０號","293917,285912,433211,232100","02-AUG-20","","","","LONG LONG,龍隆,","2019-11-22"
"75908954","同喬實業股份有限公司","高雄市大寮區江山里江山路89號","403000000","0660120","高雄市大寮區江山里江山路８９號","220999,210999,331299,462099","02-AUG-20","","","","JODANI,同喬,TONG CHAYU,TCV,EEEMOTION,BROWN FARM,久達尼,TONG CHYAU,","2019-11-22"
"75910754","琥頭機電有限公司","高雄市仁武區竹後里竹門街9號","0","0660406","高雄市仁武區竹後里竹門街９號１樓","481013,,,","02-AUG-20","","","","",""
"75912269","先貿有限公司","高雄市仁武區後安里永宏巷12弄33號","0","0660104","高雄市仁武區後安里永宏巷１２弄３３號１樓","464999,220999,,","02-AUG-20","","","","",""
"75912937","國朧實業股份有限公司","高雄市大寮區鳳屏二路41號","50000000","0660307","高雄市大寮區江山里鳳屏二路４１號","241311,292111,312200,303099","02-AUG-20","","","","國朧,","2019-11-22"
"75915054","嘉豐海洋國際股份有限公司","高雄市小港區永光街5號","461330000","0580206","高雄市小港區山明里永光街５號","530200,,,","02-AUG-20","","","","GALLANT,嘉豐,","2019-11-22"
"75916645","裕震企業股份有限公司","高雄市前鎮區漁港中二路77號","2200000","0660414","高雄市前鎮區明孝里漁港中二路７７號","530200,,,","02-AUG-20","","","","",""
"75916672","莊家綜合事業股份有限公司","高雄市大樹區九曲里瓦厝街3巷60號","5000000","0660216","高雄市大樹區九曲里瓦厝街３巷６０號","469923,464999,,","02-AUG-20","","","","",""
"75917855","加興營造工程股份有限公司","高雄市三民區明賢街42之1號1樓","100000000","0660506","高雄市三民區鼎泰里明賢街４２－１號１樓","429099,,,","02-AUG-20","","","","CHCEL,","2019-11-22"
"75919208","永臻電子工業股份有限公司","高雄市大寮區華西路30號","194000000","0660330","高雄市大寮區大寮里華西路３０號","433112,,,","02-AUG-20","","","","",""
"75922750","袁倡企業有限公司","高雄市左營區重立路511號4樓","0","0651122","高雄市左營區菜公里重立路５１１號４樓","259211,461516,464999,451099","02-AUG-20","","","","YCC,袁倡,","2019-11-22"
"75924173","享進有限公司","高雄市燕巢區深水里湖內巷一八之一號","null","0640909","高雄市燕巢區深水里湖內巷１８之１號","681112,192011,530100,","02-AUG-20","","","","",""
"75924602","根興鋼鐵有限公司","高雄市三民區九如2路83號","0","0660822","高雄市三民區九如二路８３號","481014,461516,452000,","02-AUG-20","","","","",""
"75925335","冠東鋼鐵股份有限公司","高雄市燕巢區角宿里四林路116號","28000000","0650914","高雄市燕巢區角宿里四林路１１６號","251199,,,","02-AUG-20","","","","",""
"75928071","毅展企業有限公司","高雄市苓雅區武營路545巷19號","0","0660622","高雄市苓雅區福居里武營路５４５巷１９號","469112,469199,433212,434011","02-AUG-20","","","","",""
"75929162","高週工業有限公司","高雄市仁武區竹後里竹東路82號","0","0661103","高雄市仁武區竹後里竹東路８２號","464999,,,","02-AUG-20","","","","",""
"75929803","東光鋁業有限公司","高雄市苓雅區建國一路２６５號","null","0661121","高雄市苓雅區五權里建國一路２６５號","461511,434013,481014,","02-AUG-20","","","","",""
"75930891","大滿生物科技股份有限公司","高雄市大寮區義和里九和路45之3號","25000000","0870813","高雄市大寮區義和里九和路４５－３號","220999,681112,453999,","02-AUG-20","","","","四季樂,AIER,四季豐,愛兒漢方純天然草本精華保健食品,","2019-11-22"
"75932841","永純鋼鐵股份有限公司","高雄市三民區自由一路231號2樓","5000000","0660126","高雄市三民區灣興里自由一路２３１號２樓","482111,712911,,","02-AUG-20","","","","",""
"75932878","誼茂橡膠化學工業有限公司","高雄市三民區有光路146號","0","0661231","高雄市三民區有光路１４６號","461915,,,","02-AUG-20","","","","",""
"75933362","潔歷企業有限公司","高雄市鼓山區明華路338號10樓","0","0661221","高雄市鼓山區明誠里１鄰明華路３３８號１０樓","462012,,,","02-AUG-20","","","","",""
"75933898","嘉廷行實業有限公司","高雄市左營區明華一路4號","0","0661230","高雄市左營區新上里明華一路４號","461516,461400,462017,464999","02-AUG-20","","","","",""
"75934221","億來股份有限公司","高雄市三民區建工路665之1號3樓","8000000","0670117","高雄市三民區正興里建工路６６５－１號３樓","193099,,,","02-AUG-20","","","","麻吉漾,MAGIC YOUNG,AICEMEI,A,AICE,AICE LADY,愛司蕾蒂,愛司,OULELY,奧璐儷,HOT,","2019-11-22"
"75939350","鴻途企業股份有限公司","高雄市鹽埕區大勇路16之6號","24000000","0630319","高雄市鹽埕區河濱里大勇路１６─６號","461516,464921,461111,681112","02-AUG-20","","","","",""
"75940820","公準精密工業股份有限公司","高雄市仁武區八德二路168號","450500000","0670327","高雄市仁武區五和里八德二路１６８號１樓","275199,319014,,","02-AUG-20","3178","電機機械","2020-08-26 00:00:00.0","GONGIN,黃金捕手,GOLD CATCHER,公準,","2019-11-22"
