,Count
"[918000000, 919000000)",0
"[919000000, 920000000)",0
"[920000000, 921000000)",0
"[921000000, 922000000)",0
"[922000000, 923000000)",0
"[923000000, 924000000)",0
"[924000000, 925000000)",0
"[925000000, 926000000)",0
"[926000000, 927000000)",0
"[927000000, 928000000)",0
"[928000000, 929000000)",0
"[929000000, 930000000)",0
"[930000000, 931000000)",1
"[931000000, 932000000)",0
"[932000000, 933000000)",0
"[933000000, 934000000)",0
"[934000000, 935000000)",0
"[935000000, 936000000)",0
"[936000000, 937000000)",0
"[937000000, 938000000)",0
"[938000000, 939000000)",0
"[939000000, 940000000)",0
"[940000000, 941000000)",0
"[941000000, 942000000)",0
"[942000000, 943000000)",0
"[943000000, 944000000)",0
"[944000000, 945000000)",0
"[945000000, 946000000)",0
"[946000000, 947000000)",0
"[947000000, 948000000)",0
"[948000000, 949000000)",0
"[949000000, 950000000)",0
"[950000000, 951000000)",0
"[951000000, 952000000)",0
"[952000000, 953000000)",0
"[953000000, 954000000)",0
"[954000000, 955000000)",0
"[955000000, 956000000)",0
"[956000000, 957000000)",0
"[957000000, 958000000)",0
"[958000000, 959000000)",0
"[959000000, 960000000)",0
"[960000000, 961000000)",1
"[961000000, 962000000)",0
"[962000000, 963000000)",0
"[963000000, 964000000)",0
"[964000000, 965000000)",0
"[965000000, 966000000)",0
"[966000000, 967000000)",0
"[967000000, 968000000)",0
"[968000000, 969000000)",0
"[969000000, 970000000)",0
"[970000000, 971000000)",0
"[971000000, 972000000)",0
"[972000000, 973000000)",0
"[973000000, 974000000)",1
"[974000000, 975000000)",0
"[975000000, 976000000)",0
"[976000000, 977000000)",0
"[977000000, 978000000)",0
"[978000000, 979000000)",0
"[979000000, 980000000)",0
"[980000000, 981000000)",0
"[981000000, 982000000)",0
"[982000000, 983000000)",0
"[983000000, 984000000)",0
"[984000000, 985000000)",0
"[985000000, 986000000)",0
"[986000000, 987000000)",0
"[987000000, 988000000)",0
